SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,BASTIONES PRI,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,
5376,6,745,563,99,85,68,43,39,866,FALSO,69,66,14,7,3,0,34,8,0,7,2716,10,73,2799,3935,20%
5377,3,291,250,45,42,21,25,15,295,FALSO,34,21,5,1,0,0,10,2,0,2,1059,0,48,1107,1605,23%
5378,5,602,540,106,96,43,27,33,589,FALSO,51,45,19,2,0,4,9,9,0,6,2181,0,61,2242,3166,24%
5379,4,459,400,67,70,25,35,27,580,FALSO,48,48,11,1,1,0,20,6,1,14,1813,2,49,1864,2591,21%
5380,3,390,280,45,45,30,27,27,536,FALSO,29,35,7,1,0,0,8,3,1,4,1468,0,45,1513,1993,19%
5381,5,605,745,77,90,53,44,35,649,#¡CALC!,42,56,17,3,7,1,27,5,0,4,2460,4,100,2564,3661,29%
5382,6,709,704,111,144,75,60,45,971,FALSO,66,84,27,2,0,0,46,6,1,4,3055,0,95,3150,4387,22%
5383,3,348,368,63,51,30,35,21,484,FALSO,28,43,15,3,0,0,23,3,1,2,1518,2,55,1575,2186,23%
5384,5,551,618,111,86,50,45,27,603,#¡CALC!,64,59,12,6,0,0,22,7,1,6,2268,1,95,2364,3320,26%
5385,2,195,316,19,28,11,11,18,265,#¡CALC!,16,27,2,1,0,1,16,1,0,2,929,0,47,976,1241,32%
5386,3,190,511,36,34,25,15,17,498,#¡CALC!,24,31,4,2,0,1,24,7,2,4,1425,0,19,1444,2202,35%
5387,3,218,306,57,31,27,12,13,353,FALSO,26,25,11,2,0,5,16,5,3,5,1115,1,51,1167,1643,26%
5388,5,500,657,104,67,53,46,32,750,FALSO,56,76,7,4,1,0,22,5,6,8,2394,0,115,2509,3668,26%
5389,6,477,782,82,50,38,38,32,646,#¡CALC!,56,63,14,7,3,0,38,6,1,9,2342,1,130,2473,3784,32%
5390,7,724,619,102,109,72,46,32,1061,FALSO,54,42,13,3,0,0,19,10,2,11,2919,0,97,3016,4388,21%
5391,4,346,482,44,38,34,19,15,592,FALSO,18,33,4,2,2,1,12,2,0,3,1647,0,58,1705,2507,28%
5392,4,328,507,59,66,35,19,22,619,FALSO,47,33,7,6,0,0,33,3,0,9,1793,0,72,1865,2718,27%
5393,4,346,374,59,47,30,24,21,769,FALSO,33,28,9,5,1,0,23,5,2,5,1781,0,60,1841,2683,20%
5394,5,967,474,67,65,69,40,22,755,FALSO,48,61,17,11,1,8,24,7,2,5,2643,0,89,2732,3741,17%
5395,2,128,350,19,28,24,14,14,225,#¡CALC!,21,21,1,2,0,2,9,1,0,3,862,0,52,914,1258,38%
5396,3,454,252,56,41,26,23,25,234,#¡CALC!,143,32,25,11,1,1,5,7,0,8,1344,0,57,1401,1933,18%
5397,5,484,667,91,78,61,33,30,622,#¡CALC!,43,36,14,11,1,1,30,4,1,6,2213,2,100,2315,3655,29%
5398,4,469,464,56,68,37,33,38,923,FALSO,34,50,13,2,3,0,16,6,1,8,2221,0,29,2250,2992,21%
5399,5,595,518,72,97,40,41,31,906,FALSO,37,43,7,6,0,0,16,2,1,6,2418,1,55,2474,3286,21%
5400,3,371,342,57,58,32,26,13,571,FALSO,30,41,6,2,1,0,13,2,0,5,1570,0,38,1608,2121,21%
5401,5,470,581,65,70,45,27,33,669,FALSO,42,48,10,5,2,0,21,7,1,8,2104,0,66,2170,3197,27%
5402,3,385,179,47,49,40,25,21,407,FALSO,30,23,6,3,1,1,18,10,0,4,1249,2,66,1317,1875,14%
5403,4,535,317,53,79,40,36,40,705,FALSO,49,56,9,5,1,0,21,2,0,6,1954,0,56,2010,2737,16%
5404,5,432,727,83,78,51,49,39,692,#¡CALC!,48,42,14,5,2,2,19,4,1,7,2295,0,97,2392,3598,30%
5405,4,505,386,69,77,46,35,28,630,FALSO,46,61,15,3,0,1,25,8,3,13,1951,4,85,2040,2876,19%
5406,4,454,405,63,66,39,25,18,609,FALSO,54,19,10,6,1,5,21,7,7,17,1826,8,49,1883,2658,22%
5407,4,357,445,72,67,47,27,20,665,FALSO,46,31,6,4,0,0,31,2,0,15,1835,16,55,1906,2708,23%
5408,4,446,362,67,74,28,42,32,582,FALSO,27,33,3,4,0,6,10,4,2,6,1728,1,47,1776,2454,20%
5409,3,267,322,41,54,35,17,24,431,FALSO,37,22,5,0,0,2,10,4,19,0,1290,3,47,1340,2091,24%
5410,6,545,661,88,120,38,27,37,934,FALSO,67,46,15,5,3,1,44,9,13,8,2661,0,87,2748,4139,24%
5411,4,339,506,59,58,35,35,16,812,FALSO,36,25,9,4,1,2,15,7,9,11,1979,0,60,2039,2942,25%
5412,5,290,501,60,61,47,20,30,866,FALSO,35,29,14,4,1,0,18,4,2,6,1988,0,50,2038,3241,25%
5413,2,127,129,35,34,21,12,7,283,FALSO,21,7,5,2,1,0,12,0,0,0,696,0,28,724,1014,18%
5414,7,813,637,117,135,67,72,47,1226,FALSO,71,92,12,4,3,0,28,9,0,7,3340,2,112,3454,5098,18%
5415,5,512,362,64,90,61,36,34,831,FALSO,52,48,8,2,1,1,24,7,3,3,2139,3,50,2192,3188,17%
5416,6,904,511,96,119,68,45,42,943,FALSO,48,71,19,3,2,1,21,9,3,7,2912,0,80,2992,4498,17%
5417,9,1038,575,115,128,99,95,67,1470,FALSO,90,105,11,8,5,9,34,10,0,6,3865,8,105,3978,5788,14%
5418,5,520,342,70,63,71,38,193,529,FALSO,98,71,12,3,0,2,11,8,1,5,2037,0,39,2076,3210,16%
5419,3,412,299,72,58,44,10,17,373,FALSO,25,28,13,6,1,0,9,6,0,6,1379,3,38,1420,1984,21%
5420,3,284,220,40,49,35,16,17,359,FALSO,22,26,5,1,0,0,4,3,0,1,1082,0,27,1109,1650,20%
5421,3,423,236,41,35,31,16,28,379,FALSO,25,33,2,5,2,0,8,2,2,1,1269,0,37,1306,1741,18%
5422,4,472,292,75,53,38,25,24,567,FALSO,31,44,17,4,1,2,13,3,0,0,1661,0,59,1720,2309,17%
5423,4,376,289,71,49,63,24,15,791,FALSO,39,29,8,0,0,2,27,8,2,8,1801,10,70,1881,2805,15%
5424,3,284,197,32,55,29,22,17,426,FALSO,26,19,5,4,1,4,10,3,1,5,1140,0,36,1176,1717,17%
5425,5,861,410,81,107,64,45,34,912,FALSO,37,33,11,5,2,0,24,7,2,1,2636,11,62,2709,3653,15%
5426,2,166,160,43,29,43,19,16,282,FALSO,21,18,5,0,1,0,10,4,0,5,822,0,38,860,1341,19%
5427,1,70,77,31,21,13,4,5,94,FALSO,9,7,1,1,0,1,5,3,0,1,343,0,16,359,538,21%
5428,4,333,235,92,54,91,35,21,621,FALSO,33,40,10,4,2,0,15,5,1,8,1600,0,46,1646,2503,14%
5429,3,233,130,58,49,52,29,24,437,FALSO,28,30,4,0,0,0,15,6,1,4,1100,1,30,1131,1581,11%
5430,3,311,232,79,51,98,29,23,573,FALSO,30,50,6,1,1,0,20,1,0,2,1507,0,38,1545,2214,15%
5431,5,438,255,90,79,128,46,28,882,FALSO,58,54,11,7,4,0,30,3,1,3,2117,7,66,2190,3284,12%
5432,3,220,185,43,40,45,28,16,439,FALSO,27,29,5,1,0,0,16,4,0,5,1103,0,30,1133,1640,16%
5433,5,490,247,142,78,136,45,31,941,FALSO,60,47,13,5,0,0,32,4,1,11,2283,3,68,2354,3615,10%
5434,5,552,382,123,106,93,41,35,835,FALSO,64,44,13,4,4,0,24,2,1,2,2325,0,46,2371,3282,16%
5435,3,325,192,107,54,50,28,25,563,FALSO,34,49,2,2,0,0,12,4,0,1,1448,0,30,1478,1947,13%
5436,4,524,311,137,74,76,31,25,746,FALSO,30,55,13,4,2,0,23,2,2,8,2063,0,52,2115,2963,15%
5437,6,643,484,88,99,96,48,54,938,FALSO,57,81,10,2,4,0,21,7,1,5,2638,8,76,2722,3908,18%
5438,5,456,436,117,80,89,37,30,916,FALSO,52,51,18,3,0,0,35,12,1,8,2341,16,79,2436,3594,18%
5439,5,511,449,70,92,45,54,36,804,FALSO,46,88,8,5,2,2,21,6,0,8,2247,12,70,2329,3518,19%
5440,11,1113,1009,182,154,139,78,81,1594,FALSO,74,142,23,4,4,0,31,9,5,13,4655,2,151,4808,7509,21%
5441,3,261,354,47,38,18,11,17,336,#¡CALC!,24,17,3,5,1,0,10,11,1,0,1154,0,79,1233,1857,29%
5442,3,233,407,36,40,31,23,15,392,#¡CALC!,32,22,5,1,0,0,12,4,2,3,1258,0,48,1306,2211,31%
6433,1,52,108,7,10,0,5,4,67,#¡CALC!,7,3,1,2,0,0,6,0,0,1,273,0,6,279,454,39%
6434,2,169,89,13,13,9,6,9,222,FALSO,13,29,2,2,1,0,3,1,1,1,583,1,11,595,784,15%
6435,2,163,84,21,20,14,8,12,189,FALSO,14,23,1,0,0,0,2,0,0,2,553,0,14,567,760,15%
6436,1,71,133,19,15,16,7,6,151,FALSO,21,10,1,4,1,0,15,3,0,2,475,0,25,500,686,27%
