SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,NAEM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA_NAEM,PT_MORENA,PT_NAEM,MORENA_NAEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,% PRI
5246,2,61,166,7,12,13,11,176,18,19,7,6,10,3,0,0,0,2,0,1,512,1,16,529,994,31%
5247,2,58,150,6,21,6,8,147,4,2,11,3,10,2,0,0,0,3,0,0,431,0,12,443,846,34%
5248,3,412,374,20,26,17,37,366,19,8,11,14,26,4,0,0,6,1,0,0,1341,3,21,1365,2023,27%
5249,2,137,227,13,25,13,20,259,10,13,10,11,15,0,0,0,2,5,0,0,760,0,22,782,1178,29%
5250,2,99,208,11,25,17,24,256,20,13,14,9,5,0,0,0,0,3,0,0,704,0,21,725,1266,29%
5251,3,122,245,15,38,17,19,313,10,13,16,13,6,1,0,0,5,1,0,1,835,1,15,851,1590,29%
5252,3,140,312,6,37,16,15,256,14,13,31,7,12,1,0,0,1,2,0,0,863,2,17,882,1531,35%
5253,2,106,201,9,24,12,12,193,9,4,11,4,3,1,0,0,1,0,0,0,590,1,8,599,1124,34%
5254,2,167,251,10,26,17,17,247,16,8,8,10,8,1,0,0,0,1,0,1,788,1,21,810,1339,31%
5255,3,91,345,11,31,12,28,456,17,16,20,12,14,3,0,0,1,5,0,2,1064,11,28,1103,1843,31%
5256,3,91,272,10,37,12,21,320,27,13,23,9,12,6,0,0,3,4,0,2,862,2,18,882,1731,31%
5257,3,81,302,15,40,13,17,329,17,8,11,14,7,3,0,0,4,1,1,1,864,0,26,890,1662,34%
5258,3,135,324,11,47,15,28,316,33,12,19,11,7,3,0,0,4,2,2,0,969,0,28,997,1782,32%
5259,3,107,271,12,46,10,37,302,13,19,21,12,3,2,2,3,2,2,1,0,865,0,19,884,1660,31%
5260,2,93,242,16,31,14,15,261,10,9,15,7,11,5,0,0,1,0,1,0,731,0,21,752,1270,32%
